url,http_status,is_active,has_redirect,error,full_url_length,domain_length,subdomain_count,num_subdomains,has_subdomain,has_www,is_ip,contains_ip_address,suspicious_tld,shortened,has_login,has_register,has_http,has_https,has_port,path_length,query_length,has_double_slash_redirect,starts_with_https_token,has_unicode_characters,is_url_encoded,long_url,long_domain_name,has_multiple_tlds,hyphen_in_domain,contains_keyword_mismatch,contains_suspicious_words,num_at,num_tilde,num_underscore,num_percent,num_hash,num_dollar,num_colon,num_dot,num_hyphen,num_slash,num_question,num_equal,num_ampersand,num_digits,num_letters,num_vowels,num_consonants,digit_ratio,letter_ratio,has_hex,has_repeated_chars,has_number_sequence,has_sensitive_keywords
https://www.nerdscandy.com,200,1,0,,26,10,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,21,3,18,0.0,0.8076923076923077,0,1,0,0
https://www.saffronart.com,200,1,0,,26,10,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,21,4,17,0.0,0.8076923076923077,0,1,0,0
https://www.aoh61.com,410,1,0,,21,5,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,14,3,11,0.09523809523809523,0.6666666666666666,0,1,0,0
https://www.sfnmjournal.com,403,1,0,,27,11,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,22,4,18,0.0,0.8148148148148148,0,1,0,0
https://www.religionenlibertad.com,200,1,0,,34,18,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,29,9,20,0.0,0.8529411764705882,0,1,0,0
http://www.teramill.com,200,1,0,,23,8,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,18,4,14,0.0,0.782608695652174,0,1,0,0
https://www.globalreporting.org,200,1,0,,31,15,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,26,6,20,0.0,0.8387096774193549,0,1,0,0
https://www.aap.org,200,1,0,,19,3,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,14,3,11,0.0,0.7368421052631579,0,1,0,0
https://www.socialpolicy.org,200,1,0,,28,12,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,23,6,17,0.0,0.8214285714285714,0,1,0,0
https://www.hyderabadonline.in,200,1,0,,30,15,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,25,7,18,0.0,0.8333333333333334,0,1,0,0
https://www.voicefmradio.co.uk,200,1,0,,30,12,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,24,8,16,0.0,0.8,0,1,0,0
https://www.southbankmosaics.com,200,1,0,,32,16,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,27,7,20,0.0,0.84375,0,1,0,1
https://www.uni-mainz.de,200,1,0,,24,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,18,5,13,0.0,0.75,0,1,0,0
https://www.rewildingargentina.org,200,1,0,,34,18,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,29,8,21,0.0,0.8529411764705882,0,1,0,0
