url,http_status,is_active,has_redirect,error
https://www.nerdscandy.com,200,1,0,
https://www.hyderabadonline.in,403,1,0,
https://www.saffronart.com,200,1,0,
https://www.sfnmjournal.com,403,1,0,
http://www.teramill.com,200,1,0,
https://www.aap.org,200,1,0,
https://www.socialpolicy.org,200,1,0,
https://www.religionenlibertad.com,200,1,0,
https://www.globalreporting.org,200,1,0,
https://www.aoh61.com,200,1,1,
https://www.voicefmradio.co.uk,200,1,0,
https://www.southbankmosaics.com,200,1,0,
https://www.uni-mainz.de,200,1,0,
https://www.rewildingargentina.org,200,1,0,
